SOC code,Job type,Related job titles
2469,Welfare professionals not elsewhere classified.,Adoption officers Children and family services professionals Mediators and restorative practice professionals Welfare professionals not elsewhere classified.
2471,Librarians,Librarians
2472,"Archivists, conservators and curators",Archivists Collection managers and curators Conservators Museum education officers Archivists and curators not elsewhere classified.
2481,Quality control and planning engineers,Garment technologists Planning engineers Quality control engineers Quality control and planning engineers not elsewhere classified.
2482,Quality assurance and regulatory professionals,Compliance and regulatory professionals Quality assurance professionals
2483,Environmental health professionals,Environmental health professionals
2491,"Newspaper, periodical and broadcast editors","Newspaper, periodical and broadcast editors"
2492,Newspaper and periodical broadcast journalists and reporters,Broadcast journalists Newspaper journalists and reporters Newspaper and periodical journalists and reporters not elsewhere classified.
2493,Public relations professionals,Press officers Public relations officers Social media managers Public relations professionals not elsewhere classified.
2494,Advertising accounts managers and creative directors,Advertising account managers Creative directors Fundraising managers
3111,Laboratory technicians,Biological laboratory technicians Chemical laboratory technicians Health physics monitors Laboratory food technicians Medical laboratory technicians Laboratory technicians not elsewhere classified.
3112,Electrical and electronics technicians,Avionics technicians Electrical and electronics technicians not elsewhere classified.
3113,Engineering technicians,Aerospace technicians Wind turbine technicians Engineering technicians not elsewhere classified.
3114,Building and civil engineering technicians,Building technicians Civil engineering technicians Surveying technicians Building and civil engineering technicians not elsewhere classified.
3115,Quality assurance technicians,Quality assurance technicians
3116,"Planning, process and production technicians","Planning, process and production technicians"
3119,"Science, engineering and production technicians not elsewhere classified.","School technicians Textile consultants Science, engineering and production technicians not elsewhere classified."
3120,"CAD, drawing and architectural technicians","Architectural technicians BIM and CAD technicians Cartographers CAD, drawing and architectural technicians not elsewhere classified"
3131,IT operations technicians,Games testers Network and systems administrators Quality assurance testers Software technicians IT operations technicians not elsewhere classified.
3132,IT user support technicians,IT user support technicians
3133,Database administrators and web content technicians,Database administrators Web content technicians Database administrators and web content technicians not elsewhere classified.
3211,Dispensing opticians,Dispensing opticians
3212,Pharmaceutical technicians,Pharmaceutical technicians
3213,Medical and dental technicians,Cardiac technicians Dental hygienists Dental technicians Hearing aid dispensers Hearing screeners Nursing associates Orthotic and prosthetic technicians Medical and dental technicians not elsewhere classified.
3214,Complementary health associate professionals,Alexander technique teachers Aromatherapists Homeopaths Hospital play specialists Hypnotherapists Massage therapists Reflexologists Reiki healers Complementary health associate professionals not elsewhere classified.
3219,Health associate professionals not elsewhere classified.,Antenatal teachers Dietetic assistants Equine dentists Foot health practitioners Health trainers Home economists Health associate professionals not elsewhere classified.
3221,Youth and community workers,Community workers Family support workers Youth workers Youth and community workers not elsewhere classified.
3222,Child and early years officers,Child protection officers Learning and behaviour mentors Welfare and attendance officers Child and early years officers not elsewhere classified.
3223,Housing officers,Housing officers
3224,Counsellors,Bereavement counsellors Debt advisers Life coaches Relationship counsellors Substance misuse workers Counsellors not elsewhere classified.
3229,Welfare and housing associate professionals not elsewhere classified.,Advocates Celebrants Charity workers Day care officers Health advisers Homelessness and housing advice support workers Mental health project workers Probation service workers Student support workers Victim support workers Welfare and housing associate professionals not elsewhere classified.
3231,Higher level teaching assistants,Higher level teaching assistants
3232,Early education and childcare practitioners,Early education and childcare practitioners
3240,Veterinary nurses,Veterinary nurses
3311,Non-commissioned officers and other ranks,Non-commissioned Army officers and others ranks Non-commissioned Royal Air Force officers and other ranks Non-commissioned Royal Navy officers and other ranks Royal Marines Commandos Non-commissioned officers and other ranks not elsewhere classified.
3312,Police officers,Police constable Police sergeant Police officers not elsewhere classified.
3313,Fire service officers,Firefighters Fire service crew managers Watch managers Fire service officers not elsewhere classified.
3314,Prison service officers,Operational support grades Prison officers Prison service officers not elsewhere classified.
3319,Protective service associate professionals not elsewhere classified.,Coastguard Customs and border control officers Fraud investigators Immigration officers Private investigators Security consultants and managers Protective service associate professionals not elsewhere classified.
3411,Artists,Art technicians Drawing and painting artists Hand drawn animators Illustrators Medical and scientific illustrators Picture restorers Sculptors Tattoo and henna artists Artists not elsewhere classified.
3412,"Authors, writers and translators","Authors Bloggers Copywriters Literary editors Poets Script writers Technical writers Translators and interpreters Authors, writers and translators not elsewhere classified."
3413,"Actors, entertainers and presenters","Actors Broadcasters, podcasters and presenters Children’s entertainers Comedians Disc jockeys Magicians Models Singers Social media influencers Actors, entertainers and presenters not elsewhere classified."
3414,Dancers and choreographers,Choreographers Dance teachers Dancers
3415,Musicians,Composers and musical arrangers Music conductors Instrumentalists Musicians not elsewhere classified.
3416,"Arts officers, producers and directors","Art consultants Broadcasting and entertainment directors Broadcasting and entertainment editors Broadcasting and entertainment producers Studio and stage managers Arts officers, producers and directors not elsewhere classified."
3417,"Photographers, audio-visual and broadcasting equipment operators","Camera operators and videographers Lighting designers Photographers Sound designers Sound engineers Theatre technicians Photographers, audio-visual and broadcasting equipment operators not elsewhere classified."
3421,Interior designers,Interior designers
3422,"Clothing, fashion and accessories designers","Clothing and fashion consultants Clothing and fashion designers Footwear designers Jewellery designers Textile designers Clothing, fashion and accessories designers not elsewhere classified."
3429,Design occupations not elsewhere classified.,Industrial and product designers Packaging designers Performance make-up artists Set designers Visual merchandising managers and designers Design occupations not elsewhere classified.
3431,Sports players,Sports players
3432,"Sports coaches, instructors and officials","Basketball coaches Cricket coaches Football coaches Forest school practitioners Golf coaches Gymnastics coaches Horse riding instructors Martial arts instructors Outdoor pursuits instructors Referees, umpires and other sports officials Rugby coaches Sailing instructors Ski instructors Sports development officers Swimming coaches Tennis coaches Sports coaches, instructors and officials not elsewhere classified."
3433,Fitness and wellbeing instructors,Group fitness instructors and personal trainers Pilates teachers Yoga teachers Fitness and wellbeing instructors not elsewhere classified.
3511,Aircraft pilots and air traffic controllers,Airline pilots Air traffic controllers Flying instructors Helicopter pilots Aircraft pilots and air traffic controllers not elsewhere classified.
3512,Ship and hovercraft officers,Ship and hovercraft captains and deck officers Marine engineers Ship and hovercraft officers not elsewhere classified.
3520,Legal associate professionals,Conveyancing professionals Cost lawyers Barrister’s and judge’s clerks Litigation officers Probate managers Will writers Legal associate professionals not elsewhere classified.
3531,Brokers,Commodity brokers and traders Insurance and mortgage brokers Shipbrokers Stockbrokers Brokers not elsewhere classified.
3532,Insurance underwriters,Insurance underwriters
3533,Financial and accounting technicians,Accounting technicians Financial control technicians Financial and accounting technicians not elsewhere classified.
3534,Financial accounts managers,Claims managers Credit managers Investment managers Relationship managers Financial accounts managers not elsewhere classified.
3541,"Estimators, valuers and assessors","Energy advisers and assessors Estimators Loss adjusters Valuers Vehicle damage assessors Estimators, valuers and assessors not elsewhere classified."
3542,Importers and exporters,Importers and exporters
3543,Project support officers,Project support officers
3544,Data analysts,Data analysts
3549,Business associate professionals not elsewhere classified.,Business support officers Business systems analysts Contract administrators Clinical coders Clinical trials administrators Research coordinators Business associate professionals not elsewhere classified.
3551,Buyers and procurement officers,Buyers and procurement officers
3552,Business sales executives,Business sales executives
3553,Merchandisers,Merchandisers
3554,Advertising and marketing associate professionals,Advertising and marketing executives Fundraisers Market researchers Marketing associate professionals not elsewhere classified.
3555,Estate agents and auctioneers,Estate agents Land and property auctioneers and valuers Letting agents Estate agents and auctioneers not elsewhere classified
3556,Sales accounts and business development managers,Brand managers Business development managers Sales account managers Sales accounts and business development managers not elsewhere classified.
3557,Events managers and organisers,Conference managers and organisers Exhibition managers and organisers Festival managers and organisers Hospitality managers Wedding planners and organisers Event managers and organisers not elsewhere classified.
3560,Public services associate professionals,Electoral services officers Health service administrators Job Centre officers Waste management officers Public services associate professionals not elsewhere classified.
3571,Human resources and industrial relations officers,Equality and diversity officers Human resources advisers Recruitment consultants Human resources and industrial relations officers not elsewhere classified.
3572,Careers advisers and vocational guidance specialists,Careers advisers and coaches Work placement officers Careers advisers and vocational guidance specialists not elsewhere classified.
3573,Information technology trainers,Information technology trainers
